,0
1026,330.1197
1027,330.1309
1028,330.1585
1029,330.2484
1030,330.2738
1031,331.0705
1032,331.1064
1033,331.1505
1034,331.1791
1035,331.2609
1036,331.2831
1037,332.0706
1038,332.1525
1039,332.17
1040,332.2004
1041,332.2666
1042,332.2955
1043,333.0735
1044,333.1051
1045,333.1301
1046,333.1492
1047,333.1621
1048,333.1903
1049,333.2815
1050,334.0701
1051,334.1178
1052,334.1365
1053,334.1543
1054,334.1633
1055,334.1855
1056,335.1121
1057,335.1501
1058,335.1811
1059,336.0714
1060,336.1144
1061,336.1366
1062,336.1574
1063,337.0805
1064,337.1519
1065,337.1772
1066,337.1929
1067,337.2385
1068,338.0913
1069,338.1201
1070,338.1408
1071,338.1631
1072,338.1756
1073,338.2712
1074,339.0626
1075,339.1305
1076,339.1583
1077,339.1803
1078,339.1975
1079,339.3201
1080,339.9772
1081,340.0766
1082,340.1797
1083,340.1974
1084,340.2148
1085,340.2916
1086,341.0619
1087,341.107
1088,341.1452
1089,341.169
1090,341.199
1091,341.2178
1092,341.251
1093,342.0714
1094,342.1346
1095,342.2172
1096,343.1438
1097,343.1648
1098,344.1218
1099,344.1388
1100,344.1577
1101,344.1715
1102,345.0757
1103,345.1137
1104,345.125
1105,345.1457
1106,346.0718
1107,346.1148
1108,346.1439
1109,346.164
1110,347.0702
1111,347.145
1112,347.1664
1113,348.0711
1114,348.1488
1115,348.1668
1116,349.1237
1117,349.1299
1118,349.1474
1119,349.1663
1120,349.1754
1121,349.1989
1122,349.2324
1123,350.0744
1124,350.1225
1125,350.1336
1126,350.1525
1127,350.1742
1128,350.2743
1129,351.0815
1130,351.1274
1131,351.1637
1132,351.1911
1133,351.2499
1134,352.0742
1135,352.1363
1136,352.1762
1137,352.1897
1138,352.2791
1139,353.0723
1140,353.0997
1141,353.1521
1142,353.1941
1143,353.2125
1144,353.2365
1145,353.2618
1146,354.1516
1147,354.1739
1148,354.1978
1149,354.209
1150,355.0727
1151,355.1413
1152,355.1617
1153,355.1985
1154,355.2731
1155,356.0806
1156,356.126
1157,356.1567
1158,356.2308
1159,357.1212
1160,357.1605
1161,357.1846
1162,358.1409
1163,358.2298
1164,359.0699
1165,359.1144
1166,359.1579
1167,359.1771
1168,359.1893
1169,360.1294
1170,360.152
1171,360.1771
1172,361.0683
1173,361.0894
1174,361.1383
1175,362.0662
1176,362.1366
1177,362.158
1178,362.2033
1179,362.2419
1180,363.0654
1181,363.1476
1182,363.1698
1183,363.2085
1184,364.0992
1185,364.1169
1186,364.1433
1187,364.1949
1188,364.232
1189,365.1042
1190,365.1356
1191,365.1603
1192,365.1789
1193,365.212
1194,366.1702
1195,366.2264
1196,367.1121
1197,367.1316
1198,367.1644
1199,367.2153
1200,367.2417
1201,367.3569
1202,368.1713
1203,368.2131
1204,368.2401
1205,369.1286
1206,369.1562
1207,369.1751
1208,369.2011
1209,370.1347
1210,370.1637
1211,370.2423
1212,371.0663
1213,371.1521
1214,371.1711
1215,371.1909
1216,371.2025
1217,371.2317
1218,372.0699
1219,372.1481
1220,372.1693
1221,372.2386
1222,373.0682
1223,373.1312
1224,373.1681
1225,373.2411
1226,374.0662
1227,374.1294
1228,374.1747
1229,374.1898
1230,374.2342
1231,375.1312
1232,375.1479
1233,375.1695
1234,375.193
1235,375.2025
1236,375.2258
1237,376.1675
1238,376.2325
1239,377.0782
1240,377.1473
1241,377.1787
1242,377.2017
1243,377.2443
1244,378.1403
1245,378.1501
1246,378.1766
1247,378.2621
1248,379.1136
1249,379.1491
1250,379.1816
1251,379.2212
1252,380.1625
1253,380.187
1254,381.1337
1255,381.1568
1256,381.1788
1257,381.2587
1258,382.0838
1259,382.1813
1260,382.2337
1261,382.2483
1262,383.1017
1263,383.1602
1264,383.1829
1265,383.2083
1266,383.2481
1267,383.3508
1268,384.1029
1269,384.1506
1270,384.1759
1271,385.0956
1272,385.142
1273,385.1704
1274,385.2009
1275,387.1448
1276,387.1903
1277,387.2131
1278,387.2353
1279,388.131
1280,388.1562
1281,388.1818
1282,388.2008
1283,389.1439
1284,389.1711
1285,389.1935
1286,389.2198
1287,389.2419
1288,390.1275
1289,390.1361
1290,390.1563
1291,391.0946
1292,391.1602
1293,391.1805
1294,391.19
1295,391.2186
1296,391.2427
1297,392.1533
1298,392.1722
1299,392.1931
1300,392.1987
1301,392.2193
1302,393.1479
1303,393.1864
1304,393.2405
1305,393.2681
1306,394.1633
1307,394.1984
1308,394.2209
1309,394.2559
1310,395.1893
1311,395.2704
1312,396.1081
1313,396.1461
1314,396.171
1315,396.2242
1316,396.2614
1317,397.1724
1318,397.196
1319,397.2723
1320,398.1326
1321,398.1681
1322,398.2728
1323,399.1715
1324,399.2012
1325,400.097
1326,400.1686
1327,401.1491
1328,401.1638
1329,401.1867
1330,401.2173
1331,401.2416
1332,401.8919
1333,402.0935
1334,402.1763
1335,402.2513
1336,403.1478
1337,403.1561
1338,403.1765
1339,403.2056
1340,403.2578
1341,403.2906
1342,404.2661
1343,405.1503
1344,405.1736
1345,405.1957
1346,405.2063
1347,405.2194
1348,405.2387
1349,405.2704
1350,406.1546
1351,406.1735
1352,406.2012
1353,406.2359
1354,407.1878
1355,407.2201
1356,407.252
1357,408.0968
1358,408.1841
1359,408.2162
1360,408.2377
1361,408.2653
1362,409.1655
1363,409.2323
1364,409.2628
1365,410.0987
1366,410.1607
1367,410.1827
1368,410.2403
1369,411.1147
1370,411.1482
1371,411.1572
1372,411.2003
1373,411.2385
1374,412.179
1375,412.2072
1376,412.2782
1377,413.1747
1378,413.2497
1379,414.1598
1380,414.1831
1381,414.2086
1382,415.109
1383,415.1758
1384,415.217
1385,415.2389
1386,416.1109
1387,416.1813
1388,416.2015
1389,416.2175
1390,417.1794
1391,417.2043
1392,418.109
1393,418.1844
1394,418.2142
1395,418.2384
1396,418.2673
1397,419.0998
1398,419.1599
1399,419.2212
1400,419.2525
1401,420.1008
1402,420.1886
1403,420.2108
1404,420.2562
1405,421.102
1406,421.1587
1407,421.1905
1408,421.2709
1409,422.1108
1410,422.1762
1411,422.2039
1412,423.1097
1413,423.1599
1414,423.1818
1415,423.2078
1416,423.2486
1417,423.276
1418,424.1137
1419,424.1371
1420,424.1793
1421,424.2551
1422,425.1078
1423,425.2045
1424,426.2199
1425,426.2656
1426,427.1637
1427,427.1905
1428,427.2681
1429,428.2581
1430,429.1758
1431,429.1928
1432,429.227
1433,429.2361
1434,429.2634
1435,430.1061
1436,430.1566
1437,430.1704
1438,430.2213
1439,431.242
1440,431.2784
1441,432.1134
1442,432.1985
1443,432.224
1444,432.269
1445,433.1093
1446,433.1766
1447,433.2013
1448,433.2252
1449,433.2446
1450,433.2649
1451,433.2932
1452,434.1136
1453,434.1781
1454,434.2025
1455,434.228
1456,434.2562
1457,435.162
1458,435.1964
1459,435.2249
1460,435.2487
1461,435.2876
1462,436.1446
1463,436.1774
1464,436.209
1465,436.237
1466,436.2536
1467,436.277
1468,436.3013
1469,437.1124
1470,437.1605
1471,437.1803
1472,437.2038
1473,437.2677
1474,437.2941
1475,438.161
1476,438.1985
1477,438.2751
1478,439.1772
1479,439.2219
1480,439.2712
1481,440.1214
1482,440.1815
1483,440.2126
1484,440.2391
1485,440.2752
1486,441.1208
1487,441.2804
1488,442.1178
1489,442.1887
1490,442.2121
1491,442.2714
1492,443.1131
1493,443.2019
1494,443.2531
1495,444.1165
1496,444.1735
1497,444.2302
1498,444.2827
1499,445.1111
1500,445.2055
1501,445.2381
1502,445.2721
1503,446.1105
1504,446.2392
